country,region
Afghanistan,South Asia
Albania,Europe & Central Asia
Algeria,Middle East & North Africa
American Samoa,East Asia & Pacific
Andorra,Europe & Central Asia
Angola,Sub-Saharan Africa
Antigua and Barbuda,Latin America & Caribbean
Argentina,Latin America & Caribbean
Armenia,Europe & Central Asia
Aruba,Latin America & Caribbean
Australia,East Asia & Pacific
Austria,Europe & Central Asia
Azerbaijan,Europe & Central Asia
Bahrain,Middle East & North Africa
Bangladesh,South Asia
Barbados,Latin America & Caribbean
Belarus,Europe & Central Asia
Belgium,Europe & Central Asia
Belize,Latin America & Caribbean
Benin,Sub-Saharan Africa
Bermuda,North America
Bhutan,South Asia
Bolivia,Latin America & Caribbean
Bosnia and Herzegovina,Europe & Central Asia
Botswana,Sub-Saharan Africa
Brazil,Latin America & Caribbean
Brunei,East Asia & Pacific
Bulgaria,Europe & Central Asia
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Côte d'Ivoire,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cambodia,East Asia & Pacific
Cameroon,Sub-Saharan Africa
Canada,North America
Cayman Islands,Latin America & Caribbean
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Channel Islands,Europe & Central Asia
Chile,Latin America & Caribbean
China,East Asia & Pacific
Taiwan Province of China,East Asia & Pacific
Colombia,Latin America & Caribbean
Comoros,Sub-Saharan Africa
Congo,Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
Costa Rica,Latin America & Caribbean
Croatia,Europe & Central Asia
Cuba,Latin America & Caribbean
Curaçao,Latin America & Caribbean
Cyprus,Europe & Central Asia
North Cyprus,Europe & Central Asia
Czech Republic,Europe & Central Asia
Dem. People's Rep. Korea,East Asia & Pacific
Dem. Rep. Congo,Sub-Saharan Africa
Denmark,Europe & Central Asia
Djibouti,Middle East & North Africa
Dominica,Latin America & Caribbean
Dominican Republic,Latin America & Caribbean
Ecuador,Latin America & Caribbean
Egypt,Middle East & North Africa
El Salvador,Latin America & Caribbean
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Europe & Central Asia
Ethiopia,Sub-Saharan Africa
Faeroe Islands,Europe & Central Asia
Fiji,East Asia & Pacific
Finland,Europe & Central Asia
France,Europe & Central Asia
French Polynesia,East Asia & Pacific
Gabon,Sub-Saharan Africa
Georgia,Europe & Central Asia
Germany,Europe & Central Asia
Ghana,Sub-Saharan Africa
Greece,Europe & Central Asia
Greenland,Europe & Central Asia
Grenada,Latin America & Caribbean
Guam,East Asia & Pacific
Guatemala,Latin America & Caribbean
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Latin America & Caribbean
Haiti,Latin America & Caribbean
Honduras,Latin America & Caribbean
"Hong Kong SAR, China",East Asia & Pacific
Hungary,Europe & Central Asia
Iceland,Europe & Central Asia
India,South Asia
Indonesia,East Asia & Pacific
Iran,Middle East & North Africa
Iraq,Middle East & North Africa
Ireland,Europe & Central Asia
Isle of Man,Europe & Central Asia
Israel,Middle East & North Africa
Italy,Europe & Central Asia
Ivory Coast,Sub-Saharan Africa
Jamaica,Latin America & Caribbean
Japan,East Asia & Pacific
Jordan,Middle East & North Africa
Kazakhstan,Europe & Central Asia
Kenya,Sub-Saharan Africa
Kiribati,East Asia & Pacific
Korea,East Asia & Pacific
North Korea,East Asia & Pacific
South Korea,East Asia & Pacific
Kosovo,Europe & Central Asia
Kuwait,Middle East & North Africa
Kyrgyz Republic,Europe & Central Asia
Lao PDR,East Asia & Pacific
Latvia,Europe & Central Asia
Lebanon,Middle East & North Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East & North Africa
Liechtenstein,Europe & Central Asia
Lithuania,Europe & Central Asia
Luxembourg,Europe & Central Asia
"Macao SAR, China",East Asia & Pacific
Macedonia,Europe & Central Asia
"Macedonia, FYR",Europe & Central Asia
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,East Asia & Pacific
Maldives,South Asia
Mali,Sub-Saharan Africa
Malta,Middle East & North Africa
Marshall Islands,East Asia & Pacific
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mexico,Latin America & Caribbean
Micronesia,East Asia & Pacific
Moldova,Europe & Central Asia
Monaco,Europe & Central Asia
Mongolia,East Asia & Pacific
Montenegro,Europe & Central Asia
Morocco,Middle East & North Africa
Mozambique,Sub-Saharan Africa
Myanmar,East Asia & Pacific
Namibia,Sub-Saharan Africa
Nepal,South Asia
Netherlands,Europe & Central Asia
New Caledonia,East Asia & Pacific
New Zealand,East Asia & Pacific
Nicaragua,Latin America & Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Northern Mariana Islands,East Asia & Pacific
Norway,Europe & Central Asia
Oman,Middle East & North Africa
Pakistan,South Asia
Palau,East Asia & Pacific
Palestine,Middle East & North Africa
Panama,Latin America & Caribbean
Papua New Guinea,East Asia & Pacific
